/* Nome, Cognome, Codice fiscale, e-mail, UserID, Password, Centro di monitoraggio */
Giulia, Magni, CNFW57367VBHDVY, giulia.magni@live.it, GMagni, 1234, Monza
Francesco, Zappa, ANCBT67CGTZNKHG8923, francesco.zappa@gmail.com, FZappa, 1357, Como
Chiara, Moldi, VBJWD73yytkcksb7563, chara.moldi@libero.com, CMoldi, 1234, Como
Mara, Castagni, CBUDBUWXB456647VGC, mara.castagna@hotmail.com, MCastagna, 5678, Modena
Giulio, Campi, CMPGLI80A01C632F, giulio.campi@hotmail.it, GCampi, 3437, Chieti
Salvatore, Volta, VLTSVT83B10C351Q, salvatore.volta@libero.it, SVolta, 7489, Catania
Giovanni, Montanari, MNTGNN87E17A952M, giovanni.montanari@gmail.com, GMontanari, 9856, Bolzano
Fortunato, Serra, SRRFTN76R26D205I, fortunato.serra@outlook.it, FSerra, 1210, Cuneo
Sergio, Esposito, SPSSRG77L07A662M, sergio.esposito@yahoo.it, SEsposito, 7777, Bari
Enrico, Riva, RVINRC80A01G113B, enrico.riva@gmail.com, ERiva, 1624, Oristano
Davide, Caputo, CPTDVD90S23E715X, davide.caputo@hotmail.it, DCaputo, 5234, Lucca
Alessandro, Longa, LNGLSN80T04G478V, alessandro.longa@libero.it, ALonga, 1478, Perugia
Thomas, Paganini, PGNTMS91B28L407I, thomas.paganini@gmail.com, TPaganini, 2549, Treviso
Nicolò, Perrone, PRRNCL99T19G942D, nicolo.perrone@outlook.it, NPerrone, 1999, Potenza
Chiara, Coppola, CPPCHR80A41F257L, chiara.coppola@yahoo.it, CCoppola, 4646, Modena
Federica, Conti, CNTFRC76H41I480N, federica.conti@hotmail.it, FConti, 1245, Savona
Sara, Bosco, BSCSRA86P60E783Q, sara.bosco@gmail.com, SBosco, 6942, Macerata
Martina, Vitali, VTLMTN75E55E335S, martina.vitali@outlook.com, MVitali, 8725, Isernia
Beatrice, Bianchi, BNCBRC94A53I829N, beatrice.bianchi@yahoo.it, BBianchi, 9564, Sondrio
Roberta, Proietti, PRTRRT69R56D548N, roberta.proietti@gmail.com, RProietti, 2500, Ferrara
Daniela, Casati, CSTDNL84D68A326U, daniela.casati@libero.it, DCasati, 7319, Aosta
Marta, Leone, LNEMRT96H49L331Z, marta.leone@outlook.com, MLeone, 6234, Trapani
Maria, Di Stafano, DSTMRA00B60D122Z, maria.distefano@gmail.com, MDistefano, 3645, Crotone
Giorgia, Romani, RMNGRG77A55H501T, giorgia.romani@gmail.com, GRomani, 1010, Roma
